Date,Total,United Kingdom,North America,Europe,Asia,Australia
Mon 15 Oct 2018 13:00:00 GMT, 0,0,0,0,0,0
Mon 15 Oct 2018 13:15:00 GMT, 3094,2703,146,139,63,20
Mon 15 Oct 2018 13:30:00 GMT, 13072,10610,1135,757,344,118
Mon 15 Oct 2018 13:45:00 GMT, 15529,10643,3524,814,339,106
Mon 15 Oct 2018 14:00:00 GMT, 15510,11682,2414,829,378,93
Mon 15 Oct 2018 14:15:00 GMT, 14189,11137,1711,778,352,90
Mon 15 Oct 2018 14:30:00 GMT, 13523,10399,1728,799,367,99
Mon 15 Oct 2018 14:45:00 GMT, 13753,10053,2317,816,367,65
Mon 15 Oct 2018 15:00:00 GMT, 12667,10136,1162,796,388,67
Mon 15 Oct 2018 15:15:00 GMT, 12537,10059,1130,820,351,54
Mon 15 Oct 2018 15:30:00 GMT, 40277,36603,1371,1450,552,71
Mon 15 Oct 2018 15:45:00 GMT, 51014,46597,1670,1824,591,70
Mon 15 Oct 2018 16:00:00 GMT, 58279,53352,1858,2034,649,79
Mon 15 Oct 2018 16:15:00 GMT, 55375,50177,2120,1989,684,102
Mon 15 Oct 2018 16:30:00 GMT, 55393,50160,2186,2046,616,82
Mon 15 Oct 2018 16:45:00 GMT, 52935,48240,1942,1753,589,90
Mon 15 Oct 2018 17:00:00 GMT, 50679,46396,1722,1720,485,99
Mon 15 Oct 2018 17:15:00 GMT, 53867,50008,1493,1491,461,157
Mon 15 Oct 2018 17:30:00 GMT, 56724,53079,1452,1374,445,158
Mon 15 Oct 2018 17:45:00 GMT, 50358,47537,1217,942,315,167
Mon 15 Oct 2018 18:00:00 GMT, 49819,47144,1198,870,260,166
Mon 15 Oct 2018 18:15:00 GMT, 46551,44086,1024,831,241,190
Mon 15 Oct 2018 18:30:00 GMT, 51163,48940,1020,702,184,143
Mon 15 Oct 2018 18:45:00 GMT, 51042,48912,932,712,165,159
Mon 15 Oct 2018 19:00:00 GMT, 46624,44651,846,670,177,153
Mon 15 Oct 2018 19:15:00 GMT, 40036,38006,863,688,169,152
Mon 15 Oct 2018 19:30:00 GMT, 58986,56810,963,720,145,203
Mon 15 Oct 2018 19:45:00 GMT, 62686,60441,966,760,149,243
Mon 15 Oct 2018 20:00:00 GMT, 72671,70459,926,748,133,242
Mon 15 Oct 2018 20:15:00 GMT, 50038,47923,837,719,119,302
Mon 15 Oct 2018 20:30:00 GMT, 23597,21625,778,706,109,234
Mon 15 Oct 2018 20:45:00 GMT, 51700,49743,791,711,99,247
Mon 15 Oct 2018 21:00:00 GMT, 39437,37476,807,682,116,241
Mon 15 Oct 2018 21:15:00 GMT, 26689,24744,744,713,140,215
Mon 15 Oct 2018 21:30:00 GMT, 24711,22840,824,638,96,209
Mon 15 Oct 2018 21:45:00 GMT, 20408,18624,744,575,144,236
Mon 15 Oct 2018 22:00:00 GMT, 18251,16553,729,529,134,215
Mon 15 Oct 2018 22:15:00 GMT, 23481,22039,642,403,165,173
Mon 15 Oct 2018 22:30:00 GMT, 23285,21907,648,357,146,158
Mon 15 Oct 2018 22:45:00 GMT, 16035,14729,643,256,179,165
